,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
19,4ZzXPeOfMXk0iKNQGdlzDq,Surf City - Remastered 1990/Stereo Remix,Surf City: The Best Of Jan & Dean,Jan & Dean,1990-01-01,163026,39,0.595,0.469,0.647,1.65e-06,0.339,-13.913,0.0315,147.878,4,0.942,1960
20,4j2W1eM03mz5MVN5LvR7VH,These Boots Are Made for Walkin',Full Metal Jacket (Original Motion Picture Soundtrack),Various Artists,1987-08-04,162866,53,0.562,0.718,0.323,1.1e-06,0.0827,-15.533,0.0601,82.719,4,0.463,1960
22,69RH84na5iUNwrwxpgjC5j,Where Did Our Love Go,Where Did Our Love Go,The Supremes,1964-08-31,153333,63,0.791,0.566,0.49,1.42e-05,0.0919,-10.867,0.0414,134.934,4,0.847,1960
24,6PgVDY8GTkxF3GmhVGPzoB,"Hold On, I'm Comin'","Hold On, I'm Comin'",Sam & Dave,1966,155706,66,0.196,0.803,0.338,0.038,0.097,-14.029,0.0349,106.841,4,0.912,1960
25,02Y0CtzmhTLjTOg0cWvAhq,No Milk Today - Mono Version,"A's, B's & EP's",Herman's Hermits,2004-03-01,174333,51,0.31,0.659,0.663,1.7e-06,0.0745,-6.353,0.0292,133.849,4,0.961,1960
26,5c33j1xFVOL4G24zxYhssB,This Old Heart Of Mine (Is Weak For You),This Old Heart Of Mine,The Isley Brothers,1966,172733,64,0.346,0.632,0.59,0.0,0.24,-10.206,0.0305,130.287,4,0.953,1960
27,5rVj0WJEGMO0WQeX9GG4kh,Bus Stop,20 Golden Greats,The Hollies,1978-07-01,174640,51,0.103,0.601,0.698,0.0,0.0893,-8.708,0.0313,136.263,4,0.787,1960
28,5A9Lz0DPD0wo2QDqGm4zh9,It's My Party,It's My Party: The Mercury Anthology,Lesley Gore,1996-01-01,144160,0,0.691,0.696,0.581,0.0,0.166,-9.819,0.0952,129.296,4,0.964,1960
29,3TETmhGNWOcquUTtcr6RIR,The House of the Rising Sun,The House of the Rising Sun: Best of The Animals,The Animals,2019-02-01,269906,55,0.000334,0.316,0.484,0.00445,0.0912,-9.11,0.0308,117.363,3,0.299,1960
30,5hgei65n0pGJ9uUHo8v2en,Things,Things & Other Things,Bobby Darin,1962,151413,46,0.858,0.562,0.558,0.0,0.107,-3.572,0.0453,174.704,4,0.839,1960
