,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
39,39TZWNdXsPswryjMO3rIxr,Anyone Who Had a Heart,Sings Burt Bacharach,Dionne Warwick,2011-08-30,188933,0,0.923,0.515,0.38,4.89e-05,0.53,-7.624,0.0235,78.53,3,0.34,1960
40,1kPBT8S2wJFNAyBMnGVZgL,I'd Rather Go Blind,Tell Mama,Etta James,1968-04-18,156653,69,0.689,0.477,0.433,0.000195,0.151,-6.473,0.0247,82.52,3,0.611,1960
41,3bZGw3sNQ1rQoosJzr7G2e,Harbor Lights,Reflections,The Platters,1960-01-01,194866,46,0.913,0.26,0.29,0.000649,0.153,-13.38,0.0293,78.797,4,0.303,1960
42,1GLmaPfulP0BrfijohQpN5,Don't Worry Baby - Remastered 2001,"Shut Down, Vol. 2 (Remastered)",The Beach Boys,1964-03-02,169933,62,0.0666,0.487,0.464,0.00531,0.105,-9.821,0.03,121.242,4,0.851,1960
43,3s2inuLbQQZ7z1GJrdlQr6,Forever,Playboy,The Marvelettes,1962-01-01,141746,45,0.938,0.573,0.431,0.00995,0.17,-6.962,0.0292,174.661,3,0.722,1960
44,6NDg4EyQE5lalcCEEpytsM,"(Ummmm, Oh Yeah) Dearest",Giant,Buddy Holly,1969-01-01,113066,53,0.577,0.548,0.493,0.0195,0.13,-11.052,0.0282,115.24,4,0.568,1960
45,4yWlf1jgRtN25PrbwVwifd,Runaround,The Very Best of the Fleetwoods,The Fleetwoods,2011-01-04,154440,29,0.946,0.371,0.137,1.87e-05,0.123,-14.754,0.0381,78.648,4,0.358,1960
46,3g2fYZW5v2od8KIF7VktT0,Scarborough Fair / Canticle,"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,1966-10-10,190346,59,0.65,0.336,0.248,0.0,0.113,-15.626,0.0324,128.548,3,0.298,1960
47,0mobySzkSudnm0PdUcOSWq,Love In Vain - Remastered 2019,Let It Bleed (50th Anniversary Edition / Remastered 2019),The Rolling Stones,1969-12-05,259079,40,0.242,0.376,0.478,0.0089,0.117,-11.317,0.0374,182.535,3,0.289,1960
48,0E4UBpsUOZ6Ic4SCxrXz1L,Take Another Little Piece Of My Heart,Dusty... Definitely,Dusty Springfield,1968-11-22,156586,53,0.0533,0.48,0.748,0.315,0.216,-7.256,0.0318,79.532,4,0.802,1960
